objID,name,ra,dec,z,type
1.09791e+17,SDSS J085744.66+012951.8,134.436132,1.497757,2.47,Q
1.43131e+17,SDSS J095116.21+291650.3,147.817536,29.280643,0.76,Q
1.10141e+17,SDSS J085056.94+014711.0,132.737272,1.78639,0.41,Q
1.46921e+17,SDSS J073429.54+322611.5,113.623105,32.436541,1.12,QR
1.2713e+17,SDSS J004140.52+155637.2,10.418867,15.943695,1.03,Q
1.63002e+17,SDSS J155505.99+455008.7,238.775005,45.835763,0.37,Q
1.25772e+17,SDSS J112725.49+144838.0,171.85624,14.810567,0.75,Q
1.218e+17,SDSS J015822.71+113002.5,29.594652,11.500726,0.75,Q
1.66611e+17,SDSS J085003.82+485056.1,132.51593,48.848926,2.68,Q
1.48402e+17,SDSS J111310.09+334020.9,168.292097,33.672467,0.47,Q
1.30072e+17,SDSS J161512.49+182354.0,243.802055,18.398338,1.02,QR
1.83532e+17,SDSS J135950.59+625657.1,209.960831,62.94922,0.32,A
1.17772e+17,SDSS J122310.63+080842.9,185.794289,8.145288,0.25,AX
1.79642e+17,SDSS J151725.25+594213.0,229.355272,59.703563,0.49,Q
1.89452e+17,SDSS J125032.41+675245.5,192.635067,67.879306,2.53,QR
1.53882e+17,SDSS J134022.68+381422.5,205.094528,38.239604,0.51,Q
1.55992e+17,SDSS J105454.05+395955.7,163.725229,39.998821,0.6,Q
1.33712e+17,SDSS J113733.90+212540.9,174.391257,21.428046,2.87,Q
1.05252e+17,SDSS J143001.76-021717.7,217.507348,-2.2883,0.29,A
1.17311e+17,SDSS J093412.83+074538.3,143.553511,7.760663,0.35,Q
1.77582e+17,SDSS J122707.90+575911.2,186.78289,57.986451,0.77,Q
1.59752e+17,SDSS J113733.13+430744.1,174.388064,43.128926,0.54,Q
1.56422e+17,SDSS J112933.14+402119.3,172.388083,40.355367,0.2,NR
1.64502e+17,SDSS J160454.51+470518.8,241.227162,47.088575,1.01,Q
9.57403e+16,SDSS J014759.16-101247.6,26.996528,-10.213237,2.25,Q
1.43573e+17,SDSS J230834.02+293837.1,347.14174,29.643657,0.84,Q
1.59502e+17,SDSS J122700.36+425506.6,186.751553,42.9185,0.64,Q
1.1266e+17,SDSS J022759.56+035312.7,36.998208,3.886886,0.72,Q
1.81541e+17,SDSS J091901.14+611715.4,139.754794,61.287633,0.22,A
1.69931e+17,SDSS J094333.60+513652.7,145.889965,51.614676,0.97,Q
1.53391e+17,SDSS J074937.34+374947.8,117.405624,37.829952,0.83,Q
1.37242e+17,SDSS J155802.07+242212.6,239.50864,24.370162,0.53,Q
1.1086e+17,SDSS J022408.67+022314.0,36.036142,2.387224,0.75,Q
1.39182e+17,SDSS J111517.79+255922.0,168.824162,25.989475,2.11,Q
1.0388e+17,SDSS J023116.38-032547.2,37.818292,-3.429792,1.02,Q
1.42212e+17,SDSS J124059.82+283045.1,190.249218,28.512538,0.49,QX
1.71401e+17,SDSS J083701.67+525025.0,129.25699,52.840274,0.88,Q
1.20701e+17,SDSS J092124.23+103517.5,140.351046,10.58809,0.49,Q
1.41083e+17,SDSS J231239.40+273420.4,348.164186,27.572341,0.37,A
1.41553e+17,SDSS J172519.57+275758.0,261.331561,27.966095,2.52,Q
1.59391e+17,SDSS J080906.60+424947.1,122.277494,42.829764,0.57,Q
1.66162e+17,SDSS J120934.15+482803.5,182.392299,48.467639,1.44,Q
1.1838e+17,SDSS J014545.95+083904.4,26.441474,8.65122,0.64,Q
1.60211e+17,SDSS J095119.11+433028.2,147.829663,43.507838,0.83,Q
1.49482e+17,SDSS J143921.55+343412.1,219.839825,34.570026,0.6,QX
1.56282e+17,SDSS J145516.50+401427.9,223.818766,40.241079,0.4,Q
1.42392e+17,SDSS J152014.85+283953.8,230.061888,28.664932,0.58,Q
1.09011e+17,SDSS J091101.96+005054.9,137.758182,0.8486,0.61,Q
1.71283e+17,SDSS J164923.48+524420.8,252.347855,52.739145,0.82,QX
1.83982e+17,SDSS J124836.44+631925.4,192.151869,63.323723,1.23,Q
1.34083e+17,SDSS J222311.63+214421.9,335.798459,21.739445,0.44,Q
1.30221e+17,SDSS J095631.18+183113.4,149.12993,18.520382,2.63,Q
1.00411e+17,SDSS J033609.54-061913.1,54.039782,-6.320326,0.43,AX
1.38752e+17,SDSS J101114.42+253731.3,152.810109,25.625364,0.4,Q
1.33871e+17,SDSS J084939.18+213356.4,132.413258,21.565686,0.44,A
1.42432e+17,SDSS J105959.56+284133.4,164.998164,28.692605,1.28,Q
1.35391e+17,SDSS J082154.29+224945.6,125.476255,22.829326,1.0,Q
1.13712e+17,SDSS J141505.91+044546.1,213.774624,4.762815,0.24,QX
9.99432e+16,SDSS J211028.35-064253.3,317.61811,-6.714827,0.53,Q
1.43752e+17,SDSS J163009.17+294735.6,247.538242,29.793208,0.63,QX
1.19593e+17,SDSS J210221.98+093940.1,315.59161,9.661137,0.51,Q
1.55241e+17,SDSS J072004.52+392226.2,110.018861,39.373951,0.34,A
1.49672e+17,SDSS J104026.54+344330.5,160.110576,34.725143,1.67,Q
1.86231e+17,SDSS J093644.48+651130.7,144.185309,65.191884,0.81,Q
1.59453e+17,SDSS J170725.42+425245.5,256.855937,42.879328,0.66,Q
1.17482e+17,SDSS J162450.13+075418.0,246.208865,7.905012,0.45,Q
1.0831e+17,SDSS J000453.83+001546.0,1.22431,0.2628,2.86,QX
1.3623e+17,SDSS J001000.33+233154.9,2.501376,23.531955,0.98,Q
1.79272e+17,SDSS J133812.84+592332.0,204.553476,59.392229,1.61,Q
1.3156e+17,SDSS J020037.90+193827.5,30.157927,19.641013,0.65,Q
1.40782e+17,SDSS J121758.17+271910.2,184.492393,27.319522,0.49,A
1.1424e+17,SDSS J003329.60+051210.4,8.373379,5.202898,0.83,Q
1.49862e+17,SDSS J121223.41+345322.5,183.097605,34.889606,0.37,A
1.51153e+17,SDSS J170419.77+355736.2,256.082408,35.960099,0.5,Q
1.71421e+17,SDSS J090209.54+525102.1,135.539791,52.850585,0.45,A
1.55322e+17,SDSS J130844.74+392628.1,197.186419,39.441152,1.58,Q
1.3242e+17,SDSS J005113.45+202107.1,12.806028,20.352005,0.59,Q
1.30271e+17,SDSS J081126.78+183353.7,122.861567,18.564925,0.83,Q
1.55572e+17,SDSS J160853.57+393839.2,242.223226,39.644253,0.56,Q
1.88422e+17,SDSS J110128.91+670057.8,165.3705,67.016073,0.87,Q
1.15211e+17,SDSS J090435.96+060033.6,136.149832,6.009352,0.99,Q
1.77722e+17,SDSS J115933.57+580627.8,179.889995,58.107655,0.21,A
1.53691e+17,SDSS J083028.31+380442.2,127.618025,38.078393,1.75,QX
