JD,Vmag
2458858.500000000,15.397
2458859.500000000,15.427
2458860.500000000,15.456
2458861.500000000,15.485
2458862.500000000,15.514
2458863.500000000,15.543
2458864.500000000,15.571
2458865.500000000,15.600
2458866.500000000,15.628
2458867.500000000,15.656
2458868.500000000,15.684
2458869.500000000,15.712
2458870.500000000,15.740
2458871.500000000,15.767
2458872.500000000,15.794
2458873.500000000,15.821
2458874.500000000,15.848
2458875.500000000,15.875
2458876.500000000,15.901
2458877.500000000,15.927
2458878.500000000,15.953
2458879.500000000,15.979
2458880.500000000,16.004
2458881.500000000,16.030
2458882.500000000,16.055
2458883.500000000,16.079
2458884.500000000,16.104
2458885.500000000,16.128
2458886.500000000,16.152
2458887.500000000,16.176
2458888.500000000,16.200
2458889.500000000,16.223
2458890.500000000,16.246
2458891.500000000,16.269
2458892.500000000,16.291
2458893.500000000,16.314
2458894.500000000,16.336
2458895.500000000,16.358
2458896.500000000,16.379
2458897.500000000,16.401
2458898.500000000,16.422
2458899.500000000,16.443
2458900.500000000,16.464
2458901.500000000,16.484
2458902.500000000,16.504
2458903.500000000,16.524
2458904.500000000,16.544
2458905.500000000,16.563
2458906.500000000,16.583
2458907.500000000,16.602
2458908.500000000,16.620
2458909.500000000,16.639
2458910.500000000,16.657
2458911.500000000,16.675
2458912.500000000,16.693
2458913.500000000,16.711
2458914.500000000,16.728
2458915.500000000,16.745
2458916.500000000,16.762
2458917.500000000,16.779
2458918.500000000,16.795
2458919.500000000,16.811
2458920.500000000,16.827
2458921.500000000,16.843
2458922.500000000,16.859
2458923.500000000,16.874
2458924.500000000,16.889
2458925.500000000,16.904
2458926.500000000,16.919
2458927.500000000,16.933
2458928.500000000,16.947
2458929.500000000,16.961
2458930.500000000,16.975
2458931.500000000,16.989
2458932.500000000,17.002
2458933.500000000,17.016
2458934.500000000,17.029
2458935.500000000,17.042
2458936.500000000,17.054
2458937.500000000,17.067
2458938.500000000,17.079
2458939.500000000,17.091
2458940.500000000,17.103
2458941.500000000,17.114
2458942.500000000,17.126
2458943.500000000,17.137
2458944.500000000,17.148
2458945.500000000,17.159
2458946.500000000,17.170
2458947.500000000,17.180
2458948.500000000,17.191
2458949.500000000,17.201
2458950.500000000,17.211
2458951.500000000,17.221
2458952.500000000,17.230
2458953.500000000,17.240
2458954.500000000,17.249
